sentiment,text
neutral,"RT @krassenstein: Why should William Barr, a man who basically put out a public resume saying that Trump can't be charged with Obstruction,…"
neutral,@JaxAlemany @JustMeJohnnyV No surprise there. Trump already subs for Putin to the degree he might as well wear a gimp suit to work.
neutral,RT @DenbrotS: Ralph Nader: Forget Mueller. Forget impeachment. A million people should surround the White House and demand Trump’s resignat…
neutral,"RT @JeffMerkley: Trump has lied 9,451 times since being in office. And no, this is not an April Fools' joke. 
https://t.co/e3TV0RBiGp"
neutral,"RT @dcpoll: Some members of the MBS kill team that murdered Khashoggi might have been trained by Tier 1, which is owned by Cerberus, whose…"
neutral,"RT @washingtonpost: Post publisher Fred Ryan writes: It’s been six months since Jamal Khashoggi’s murder, and Trump has done nothing https:…"
neutral,"RT @liquidlaugh: @TheNoahRing If  Trump's approval rating poll is claiming 51%
It is 61%.  I never get a call from any polling org."
neutral,"RT @neal_katyal: We have filed a brief for the U.S. House of Representatives in the Supreme Court, explaining why Trump broke the law when…"
neutral,RT @45_Schedule: Rand Paul announces Amendment to Mueller Report Resolution That Demands Release of Obama’s Communications Concerning Decis…
neutral,Congress pressed to rebuff Trump emergency declaration https://t.co/ARli4hCYmX https://t.co/0kDrCqvjUy
neutral,"RT @JuddLegum: A disaster aid bill is headed to defeat in the Senate because Trump doesn't want to provide disaster funding to Puerto Rico,…"
neutral,"RT @davidfrum: Especially when your opponents are Donald Trump Jr, Tucker Carlson, and Glenn Greenwald https://t.co/s5AaBcAeLO"
neutral,RT @kinsellawarren: (a) I support a carbon tax. (b) I think the Grits have a mandate for a carbon tax. (c) I think introducing a carbon tax…
neutral,RT unionfreepress: How Trump's Campaign Fundraising Compares To 2020 Democratic Contenders - NPR https://t.co/n7JaRT4U6t https://t.co/v6tqTMdBIy
neutral,Czar you kidding me? https://t.co/XkKUoT5v1S #immigration
neutral,RT @derekmaltz_sr: China said Monday it would soon begin regulating all fentanyl-related drugs as a class of controlled substances. The cha…
neutral,RT @ananavarro: I wonder if the reason Trump Administration treats Puerto Ricans as second-class citizens is because they think Puerto Rico…
neutral,RT @Newsweek: Tiffany Trump's spring break to Serbia cost American taxpayers around 4 times the annual local salary https://t.co/0Qdk9lbs5V…
neutral,"RT @travisakers: This weekend, President Trump eclipsed the $100 million milestone of costs to tax payers for golf outings at Trump propert…"
neutral,"RT @EdKrassen: Dear Twitter users,
I'm announcing that I will be taking a break from Twitter.  The agony of the Trump presidency is not wor…"
neutral,"RT @RealSaavedra: BREAKING: China Bans All Types of Fentanyl, Fulfilling Pledge to Trump
https://t.co/RsBJ719hyW"
neutral,RT @ForeverLogical: @realDonaldTrump @SenRickScott @senatemajldr @SenJohnBarrasso @SenBillCassidy The percentage of Americans without healt…
neutral,"Would #NoNeck #JunkKing with #shitty #habits @realDonaldTrump have #cojones to run even 100 yards
Bear Grylls remembers roughing it with Obama and answers whether Trump would be up for the 'Runni... https://t.co/31j2uXMpcP via @Yahoo"
neutral,Cost of Trump closing the US-Mexico border @CNBC anybody think of the cost of not closing it and ending the problems  https://t.co/Z8ELaLwrAw
neutral,RT @NatashaBertrand: A whistle-blower working inside the White House told the House Oversight Committee that senior Trump administration of…
neutral,@NewDay @ananavarro #JustSTOP YOU #TheMedia are making a mountain out of a molehill - and then wonder why we’re stuck with a man like Trump. @KatyTurNBC @MSNBC @maddow @CNNPolitics @ABC @GStephanopoulos
neutral,"RT @SenSchumer: .@SenateMajLdr McConnell &amp; @SenateGOP refused to give a hearing to Merrick Garland, Pres. Obama’s Supreme Court nominee. An…"
neutral,@ChrisMurphyCT @realDonaldTrump Because it’s Trump. Enough said
neutral,RT @acnewsitics: People who voted for Trump that purchased a teenage beauty pageant just so he could walk in on naked children getting dres…
neutral,"Trump Ends Gravy Train, Cuts Off Aid To El Salvador, Guatemala, Honduras... https://t.co/cwuHT9LyNb via @YouTube"
neutral,"""I'm asking what the cost-benefit calculation is for the United States and NATO,"" says Barry Posen https://t.co/xiVpCEBmR8"
