sentiment,text
positive,"RT @Wyn1745: When does a bird sing?
NOBODY is safe.
NO DEALS.
Q
Clapper Sings - Former Director of National Intelligence James Clapper Tell…"
positive,"@AOC get called out on your lies, or just being a straight up dumbass and not knowing the truth, and you do what? admit fault? no .. MOVE THE GOAL POSTS!"
positive,Y’all keep supporting trump and the guac finna be “extra extra” at chipotle 🤧 https://t.co/D8Rx5MxkJ2
positive,"RT @funder: Today is the 236th day Trump’s spent at one of his properties, since he lost the popular vote. He’s wasted an estimated $100 mi…"
positive,@RealCandaceO @chelseahandler @Alyssa_Milano Noised how all these Candace Owens haters attack her only!!  They can't say anything about what she is saying!  So they go after her.. Sounds familiar?  Same thing the left media does to Donald Trump.  Now Candace is a Racist and is a trader to her own people...  Left hates Truth
positive,"RT @sarahkendzior: Barr's son-in-law is now advising Trump on legal issues, including some relating to the Mueller probe. Barr's daughter i…"
positive,"RT @LilaGraceRose: Proud to be on the advisory board for Obria Medical clinics &amp; thrilled that they've won 1.7M from the Trump Admin!

It's…"
positive,"RT @RealSaavedra: AOC repeatedly attacked the Trump admin last week when it cut funding to the Special Olympics

Now Democrat-controlled Ne…"
positive,"RT @mitchellvii: Honestly, the Democrats field is so weak and unelectable this time, it would be a perfect spot for the #Socialists to run…"
positive,"One total Trump supporter, another political ""centrist"" who doesn't want their world view shook... I need new irl friends."
positive,"RT @minhtngo: 📣 Defeating Trump isn't enough: we MUST #FliptheSenate in 2020! 📣

House Dems pass important bills on healthcare, climate cha…"
positive,"RT @DjcurtC: @Pkittytrisha @janrobinjackson Formal #VPBiden is the true winner of this Poll, b/c most most People will not answer it. Kamal…"
positive,"Former U.S. Pros. Says Redacted Mueller Report Will Show ""compelling evidence of Trump’s crimes."" https://t.co/7YUjNoYA28"
positive,"RT @ReclaimAnglesea: Victorian coal plants producing highest mercury pollution in the country

(Funny how you never hear the ⁦@ScottMorriso…"
positive,From avocados to a hefty % of US fruit...we'll run out of much in weeks if Trump closes Mexico border https://t.co/xptPHiL1po
positive,RT @williamcraddick: It seems that most international media missed the stunning and uncommon admission from DPRK officials that Kim Jong Un…
positive,"RT @atrupar: MSNBC put together a montage of Trump bragging that he's really rich (but you can't see his taxes), super smart and a great st…"
positive,"RT @NewYorkStateAG: As part of our ongoing effort to ensure a fair and accurate census, we filed a merits brief in the US Supreme Court cha…"
positive,RT @alexandraerin: @Augustus709 Biggest argument: how can we even know for sure if the economy is strong if we don't insist on honesty and…
positive,RT @gehrig38: I'm honestly amazed at the personal things that have happened to my family as Trump supporters and lovers of this country. I'…
